Country,Parameter,Y1 2015,Y2 2016,Y3 2017,Y4 2018,Y5 2019,Y6 2020,Y7 2021,Y8 2022,Y9 2023
Indonesia,GDP per capita,27126.404,28508.962,28816.298,29444.182,29535.745,31392.833,31208.826,32412.128,34542.542
Indonesia,Life expectancy,80.688,79.664,81.368,79.984,82.912,83.017,83.21,81.458,82.84
Indonesia,Population,294.242,290.215,299.158,300.748,309.812,320.446,314.067,312.483,
Japan,CO2 per capita,7.404,7.276,7.172,7.156,7.008,6.91,6.971,6.997,6.68
Japan,GDP per capita,38349.287,39627.858,40348.523,42440.602,43185.1,43533.683,45033.306,47609.42,48789.404
Japan,Life expectancy,70.358,68.563,70.062,71.649,69.42,72.03,71.391,70.059,70.78
Japan,Population,1193.553,1192.201,1217.465,1198.414,1212.005,1208.803,1289.133,1250.992,1297.004
Kenya,CO2 per capita,9.348,9.266,9.355,9.077,9.149,8.868,8.747,8.577,
Kenya,GDP per capita,48787.742,50002.321,52937.618,53418.107,56697.9,56447.09,59169.717,60386.938,61705.429
Kenya,Life expectancy,80.744,78.823,78.108,80.372,81.941,78.919,79.607,80.185,79.875
Kenya,Population,782.039,798.863,799.05,794.459,814.44,824.488,844.047,828.981,848.309
Mexico,CO2 per capita,6.205,6.142,5.987,6.022,5.965,6.023,6.013,5.779,5.667
Mexico,GDP per capita,61943.435,63539.532,65633.318,67490.763,71451.992,70432.635,71972.419,74752.686,76616.769
Mexico,Life expectancy,76.043,74.794,75.552,78.426,77.93,76.672,76.282,75.245,77.142
Mexico,Population,598.514,588.54,590.543,605.912,628.083,595.116,632.569,623.659,650.218
Nigeria,CO2 per capita,7.775,7.686,7.577,7.468,7.504,7.184,7.344,7.247,7.179
Nigeria,GDP per capita,17982.276,18483.946,19235.936,19520.122,20611.073,21005.342,21750.542,22258.111,22738.156
Nigeria,Life expectancy,69.57,69.771,69.587,69.447,69.64,69.144,70.028,69.869,
Nigeria,Population,1288.241,1295.022,1323.455,1331.928,1317.845,1360.158,1344.734,1373.284,1393.781
South Africa,CO2 per capita,12.343,11.901,11.91,11.93,11.785,11.752,11.518,11.283,11.283
South Africa,GDP per capita,12018.637,12453.116,12999.874,13348.804,13703.382,13751.237,14609.913,15189.633,15608.466
South Africa,Life expectancy,73.12,74.883,74.864,73.148,73.142,72.164,72.934,74.321,74.436
South Africa,Population,1212.243,1271.382,1263.397,1230.275,1298.953,1275.362,1291.984,1318.108,1369.748
Spain,CO2 per capita,12.233,12.318,11.948,12.095,11.546,11.566,11.449,11.502,11.431
Spain,GDP per capita,43765.701,46617.729,47562.275,49256.514,49214.576,51730.73,53094.003,54468.003,54916.268
Spain,Life expectancy,81.374,80.548,80.696,81.443,80.002,80.767,82.078,83.521,81.107
Spain,Population,383.368,384.243,382.402,389.652,,381.111,400.798,408.868,413.811
United Kingdom,CO2 per capita,12.054,12.132,12.07,11.722,11.46,11.382,11.632,11.272,11.264
United Kingdom,GDP per capita,14694.026,15423.028,15649.687,15908.254,17029.637,17399.459,17921.231,18192.642,19164.306
United Kingdom,Life expectancy,60.776,59.503,59.796,61.409,62.463,62.37,60.733,60.997,62.32
United Kingdom,Population,389.495,381.733,385.887,396.016,394.552,406.82,408.354,405.147,415.397
United States,CO2 per capita,1.833,1.889,1.847,1.846,1.834,1.788,1.735,1.772,1.725
United States,GDP per capita,11770.846,11952.066,12465.34,12573.823,13055.066,13312.321,14162.085,14337.619,14609.914
United States,Life expectancy,76.806,76.806,78.791,78.114,78.477,77.256,80.257,80.166,78.983
United States,Population,1121.135,1148.063,1120.021,1140.929,1163.911,1227.163,1211.196,1204.003,1231.088
