Country,Year,CO2 per capita,GDP per capita,Life expectancy,Population
India,2015,13.632,53371.243,84.206,306.794
India,2016,13.568,56096.624,84.745,310.12
India,2017,13.594,58593.574,86.681,309.253
India,2018,13.358,58724.66,84.135,318.838
India,2019,13.308,60223.882,83.8,314.498
India,2020,13.191,62775.179,83.002,318.323
India,2021,12.943,64471.338,84.944,333.21
India,2022,12.864,65417.746,86.948,325.719
India,2023,12.782,68872.626,86.458,338.915
Indonesia,2015,12.106,27126.404,80.688,294.242
Indonesia,2016,11.994,28508.962,79.664,290.215
Indonesia,2017,11.702,28816.298,81.368,299.158
Indonesia,2018,11.56,29444.182,79.984,300.748
Indonesia,2019,11.837,29535.745,82.912,309.812
Indonesia,2020,11.547,31392.833,83.017,320.446
Indonesia,2021,11.502,31208.826,83.21,314.067
Indonesia,2022,11.521,32412.128,81.458,312.483
Indonesia,2023,10.945,34542.542,82.84,
Japan,2015,7.404,38349.287,70.358,1193.553
Japan,2016,7.276,39627.858,68.563,1192.201
Japan,2017,7.172,40348.523,70.062,1217.465
Japan,2018,7.156,42440.602,71.649,1198.414
Japan,2019,7.008,43185.1,69.42,1212.005
Japan,2020,6.91,43533.683,72.03,1208.803
Japan,2021,6.971,45033.306,71.391,1289.133
Japan,2022,6.997,47609.42,70.059,1250.992
Japan,2023,6.68,48789.404,70.78,1297.004
Kenya,2015,9.348,48787.742,80.744,782.039
Kenya,2016,9.266,50002.321,78.823,798.863
Kenya,2017,9.355,52937.618,78.108,799.05
Kenya,2018,9.077,53418.107,80.372,794.459
Kenya,2019,9.149,56697.9,81.941,814.44
Kenya,2020,8.868,56447.09,78.919,824.488
Kenya,2021,8.747,59169.717,79.607,844.047
Kenya,2022,8.577,60386.938,80.185,828.981
Kenya,2023,,61705.429,79.875,848.309
Mexico,2015,6.205,61943.435,76.043,598.514
Mexico,2016,6.142,63539.532,74.794,588.54
Mexico,2017,5.987,65633.318,75.552,590.543
Mexico,2018,6.022,67490.763,78.426,605.912
Mexico,2019,5.965,71451.992,77.93,628.083
Mexico,2020,6.023,70432.635,76.672,595.116
Mexico,2021,6.013,71972.419,76.282,632.569
Mexico,2022,5.779,74752.686,75.245,623.659
Mexico,2023,5.667,76616.769,77.142,650.218
Nigeria,2015,7.775,17982.276,69.57,1288.241
Nigeria,2016,7.686,18483.946,69.771,1295.022
Nigeria,2017,7.577,19235.936,69.587,1323.455
Nigeria,2018,7.468,19520.122,69.447,1331.928
Nigeria,2019,7.504,20611.073,69.64,1317.845
Nigeria,2020,7.184,21005.342,69.144,1360.158
Nigeria,2021,7.344,21750.542,70.028,1344.734
Nigeria,2022,7.247,22258.111,69.869,1373.284
Nigeria,2023,7.179,22738.156,,1393.781
South Africa,2015,12.343,12018.637,73.12,1212.243
South Africa,2016,11.901,12453.116,74.883,1271.382
South Africa,2017,11.91,12999.874,74.864,1263.397
South Africa,2018,11.93,13348.804,73.148,1230.275
South Africa,2019,11.785,13703.382,73.142,1298.953
South Africa,2020,11.752,13751.237,72.164,1275.362
South Africa,2021,11.518,14609.913,72.934,1291.984
South Africa,2022,11.283,15189.633,74.321,1318.108
South Africa,2023,11.283,15608.466,74.436,1369.748
Spain,2015,12.233,43765.701,81.374,383.368
Spain,2016,12.318,46617.729,80.548,384.243
Spain,2017,11.948,47562.275,80.696,382.402
Spain,2018,12.095,49256.514,81.443,389.652
Spain,2019,11.546,49214.576,80.002,
Spain,2020,11.566,51730.73,80.767,381.111
Spain,2021,11.449,53094.003,82.078,400.798
Spain,2022,11.502,54468.003,83.521,408.868
Spain,2023,11.431,54916.268,81.107,413.811
United Kingdom,2015,12.054,14694.026,60.776,389.495
United Kingdom,2016,12.132,15423.028,59.503,381.733
United Kingdom,2017,12.07,15649.687,59.796,385.887
United Kingdom,2018,11.722,15908.254,61.409,396.016
United Kingdom,2019,11.46,17029.637,62.463,394.552
United Kingdom,2020,11.382,17399.459,62.37,406.82
United Kingdom,2021,11.632,17921.231,60.733,408.354
United Kingdom,2022,11.272,18192.642,60.997,405.147
United Kingdom,2023,11.264,19164.306,62.32,415.397
United States,2015,1.833,11770.846,76.806,1121.135
United States,2016,1.889,11952.066,76.806,1148.063
United States,2017,1.847,12465.34,78.791,1120.021
United States,2018,1.846,12573.823,78.114,1140.929
United States,2019,1.834,13055.066,78.477,1163.911
United States,2020,1.788,13312.321,77.256,1227.163
United States,2021,1.735,14162.085,80.257,1211.196
United States,2022,1.772,14337.619,80.166,1204.003
United States,2023,1.725,14609.914,78.983,1231.088
