Nation,Yr,Indicator,Amount,Data Source,Notes
Indonesia,2022,CO2 per capita,11.521,World Bank (synthetic),
Indonesia,2023,CO2 per capita,10.945,World Bank (synthetic),
Japan,2015,GDP per capita,38349.287,World Bank (synthetic),
Japan,2016,GDP per capita,39627.858,World Bank (synthetic),
Japan,2017,GDP per capita,40348.523,World Bank (synthetic),
Japan,2018,GDP per capita,42440.602,World Bank (synthetic),
Japan,2019,GDP per capita,43185.1,World Bank (synthetic),
Japan,2020,GDP per capita,43533.683,World Bank (synthetic),
Japan,2021,GDP per capita,45033.306,World Bank (synthetic),
Japan,2022,GDP per capita,47609.42,World Bank (synthetic),
Japan,2023,GDP per capita,48789.404,World Bank (synthetic),
Japan,2015,Population,1193.553,World Bank (synthetic),
Japan,2016,Population,1192.201,World Bank (synthetic),
Japan,2017,Population,1217.465,World Bank (synthetic),
Japan,2018,Population,1198.414,World Bank (synthetic),
Japan,2019,Population,1212.005,World Bank (synthetic),
Japan,2020,Population,1208.803,World Bank (synthetic),
Japan,2021,Population,1289.133,World Bank (synthetic),
Japan,2022,Population,1250.992,World Bank (synthetic),
Japan,2023,Population,1297.004,World Bank (synthetic),
Japan,2015,Life expectancy,70.358,World Bank (synthetic),
Japan,2016,Life expectancy,68.563,World Bank (synthetic),
Japan,2017,Life expectancy,70.062,World Bank (synthetic),
Japan,2018,Life expectancy,71.649,World Bank (synthetic),
Japan,2019,Life expectancy,69.42,World Bank (synthetic),
Japan,2020,Life expectancy,72.03,World Bank (synthetic),
Japan,2021,Life expectancy,71.391,World Bank (synthetic),
Japan,2022,Life expectancy,70.059,World Bank (synthetic),
Japan,2023,Life expectancy,70.78,World Bank (synthetic),
Japan,2015,CO2 per capita,7.404,World Bank (synthetic),
Japan,2016,CO2 per capita,7.276,World Bank (synthetic),
Japan,2017,CO2 per capita,7.172,World Bank (synthetic),
Japan,2018,CO2 per capita,7.156,World Bank (synthetic),
Japan,2019,CO2 per capita,7.008,World Bank (synthetic),
Japan,2020,CO2 per capita,6.91,World Bank (synthetic),
Japan,2021,CO2 per capita,6.971,World Bank (synthetic),
Japan,2022,CO2 per capita,6.997,World Bank (synthetic),
Japan,2023,CO2 per capita,6.68,World Bank (synthetic),
Kenya,2015,GDP per capita,48787.742,World Bank (synthetic),
Kenya,2016,GDP per capita,50002.321,World Bank (synthetic),
Kenya,2017,GDP per capita,52937.618,World Bank (synthetic),
Kenya,2018,GDP per capita,53418.107,World Bank (synthetic),
Kenya,2019,GDP per capita,56697.9,World Bank (synthetic),
Kenya,2020,GDP per capita,56447.09,World Bank (synthetic),
Kenya,2021,GDP per capita,59169.717,World Bank (synthetic),
Kenya,2022,GDP per capita,60386.938,World Bank (synthetic),
Kenya,2023,GDP per capita,61705.429,World Bank (synthetic),
Kenya,2015,Population,782.039,World Bank (synthetic),
Kenya,2016,Population,798.863,World Bank (synthetic),
Kenya,2017,Population,799.05,World Bank (synthetic),
Kenya,2018,Population,794.459,World Bank (synthetic),
Kenya,2019,Population,814.44,World Bank (synthetic),
Kenya,2020,Population,824.488,World Bank (synthetic),
Kenya,2021,Population,844.047,World Bank (synthetic),
Kenya,2022,Population,828.981,World Bank (synthetic),
Kenya,2023,Population,848.309,World Bank (synthetic),
Kenya,2015,Life expectancy,80.744,World Bank (synthetic),
Kenya,2016,Life expectancy,78.823,World Bank (synthetic),
Kenya,2017,Life expectancy,78.108,World Bank (synthetic),
Kenya,2018,Life expectancy,80.372,World Bank (synthetic),
Kenya,2019,Life expectancy,81.941,World Bank (synthetic),
Kenya,2020,Life expectancy,78.919,World Bank (synthetic),
Kenya,2021,Life expectancy,79.607,World Bank (synthetic),
Kenya,2022,Life expectancy,80.185,World Bank (synthetic),
Kenya,2023,Life expectancy,79.875,World Bank (synthetic),
Kenya,2015,CO2 per capita,9.348,World Bank (synthetic),
Kenya,2016,CO2 per capita,9.266,World Bank (synthetic),
Kenya,2017,CO2 per capita,9.355,World Bank (synthetic),
Kenya,2018,CO2 per capita,9.077,World Bank (synthetic),
Kenya,2019,CO2 per capita,9.149,World Bank (synthetic),
Kenya,2020,CO2 per capita,8.868,World Bank (synthetic),
Kenya,2021,CO2 per capita,8.747,World Bank (synthetic),
Kenya,2022,CO2 per capita,8.577,World Bank (synthetic),
Mexico,2015,GDP per capita,61943.435,World Bank (synthetic),
Mexico,2016,GDP per capita,63539.532,World Bank (synthetic),
Mexico,2017,GDP per capita,65633.318,World Bank (synthetic),
Mexico,2018,GDP per capita,67490.763,World Bank (synthetic),
Mexico,2019,GDP per capita,71451.992,World Bank (synthetic),
Mexico,2020,GDP per capita,70432.635,World Bank (synthetic),
Mexico,2021,GDP per capita,71972.419,World Bank (synthetic),
Mexico,2022,GDP per capita,74752.686,World Bank (synthetic),
Mexico,2023,GDP per capita,76616.769,World Bank (synthetic),
Mexico,2015,Population,598.514,World Bank (synthetic),
Mexico,2016,Population,588.54,World Bank (synthetic),
Mexico,2017,Population,590.543,World Bank (synthetic),
Mexico,2018,Population,605.912,World Bank (synthetic),
Mexico,2019,Population,628.083,World Bank (synthetic),
Mexico,2020,Population,595.116,World Bank (synthetic),
Mexico,2021,Population,632.569,World Bank (synthetic),
Mexico,2022,Population,623.659,World Bank (synthetic),
Mexico,2023,Population,650.218,World Bank (synthetic),
Mexico,2015,Life expectancy,76.043,World Bank (synthetic),
Mexico,2016,Life expectancy,74.794,World Bank (synthetic),
Mexico,2017,Life expectancy,75.552,World Bank (synthetic),
Mexico,2018,Life expectancy,78.426,World Bank (synthetic),
Mexico,2019,Life expectancy,77.93,World Bank (synthetic),
Mexico,2020,Life expectancy,76.672,World Bank (synthetic),
Mexico,2021,Life expectancy,76.282,World Bank (synthetic),
Mexico,2022,Life expectancy,75.245,World Bank (synthetic),
Mexico,2023,Life expectancy,77.142,World Bank (synthetic),
Mexico,2015,CO2 per capita,6.205,World Bank (synthetic),
Mexico,2016,CO2 per capita,6.142,World Bank (synthetic),
Mexico,2017,CO2 per capita,5.987,World Bank (synthetic),
Mexico,2018,CO2 per capita,6.022,World Bank (synthetic),
Mexico,2019,CO2 per capita,5.965,World Bank (synthetic),
Mexico,2020,CO2 per capita,6.023,World Bank (synthetic),
Mexico,2021,CO2 per capita,6.013,World Bank (synthetic),
Mexico,2022,CO2 per capita,5.779,World Bank (synthetic),
Mexico,2023,CO2 per capita,5.667,World Bank (synthetic),
Nigeria,2015,GDP per capita,17982.276,World Bank (synthetic),
Nigeria,2016,GDP per capita,18483.946,World Bank (synthetic),
Nigeria,2017,GDP per capita,19235.936,World Bank (synthetic),
Nigeria,2018,GDP per capita,19520.122,World Bank (synthetic),
Nigeria,2019,GDP per capita,20611.073,World Bank (synthetic),
Nigeria,2020,GDP per capita,21005.342,World Bank (synthetic),
Nigeria,2021,GDP per capita,21750.542,World Bank (synthetic),
Nigeria,2022,GDP per capita,22258.111,World Bank (synthetic),
Nigeria,2023,GDP per capita,22738.156,World Bank (synthetic),
Nigeria,2015,Population,1288.241,World Bank (synthetic),
Nigeria,2016,Population,1295.022,World Bank (synthetic),
Nigeria,2017,Population,1323.455,World Bank (synthetic),
Nigeria,2018,Population,1331.928,World Bank (synthetic),
Nigeria,2019,Population,1317.845,World Bank (synthetic),
Nigeria,2020,Population,1360.158,World Bank (synthetic),
Nigeria,2021,Population,1344.734,World Bank (synthetic),
Nigeria,2022,Population,1373.284,World Bank (synthetic),
Nigeria,2023,Population,1393.781,World Bank (synthetic),
Nigeria,2015,Life expectancy,69.57,World Bank (synthetic),
Nigeria,2016,Life expectancy,69.771,World Bank (synthetic),
Nigeria,2017,Life expectancy,69.587,World Bank (synthetic),
Nigeria,2018,Life expectancy,69.447,World Bank (synthetic),
Nigeria,2019,Life expectancy,69.64,World Bank (synthetic),
